Author,Node full name,Node short name,Type of node,Start,End,Description,Image link,Video link,Location,Country,Location coordinates,Target participant qualifier 1,Target participant qualifier 2,Number of participants,Type of engagement,Type of audience,Duration,Made by,Inspired by,In opposition to,In response to,Associated / works with,Exhibited with,Exhibited at
VR,John Latham,John Latham,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Stuart Brisley,Stuart Brisley,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Stephen Willats,Stephen Willats,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Gustav Metzger,Gustav Metzger,Artists,,,,,,,,,,,,,,,,,,,,,dOCUMENTA (13)
VR,"Gustav Metzger, To Crawl Into - Anschluss, Vienna, March 1938","Metzger, To Crawl Into",Other artwork,1996,,"To Crawl Into forms part of Metzger’s Historic Photographs series, begun in 1990, which engages with the Holocaust alongside other events of twentieth-century history (see, for example, To Walk Into – Massacre on the Mount, Jerusalem 8 November 1990 1996, Tate). In each work a photograph documenting the event is hugely enlarged, before being somehow obscured, by a sheet for example, a curtain, or a screen of wooden boards. In this case Metzger has used a press photograph taken shortly after Austria’s annexation to Nazi Germany in March 1938, that depicts Jewish men, women and children being forced to wash the streets of Vienna as their fellow citizens look on. The photograph has been enlarged to over thirteen square metres – rendering the figures larger than life-size – and is displayed on the floor, covered with a cotton sheet. In order to see it, the viewer is required to crawl on their hands and knees beneath the sheet, mimicking the actions of the Jewish subjects, while the size and proximity of the image makes it impossible to apprehend as a whole. Metzger has explained that these works seek to provoke a re-evaluation of well-worn media imagery by physically preventing the viewer from considering the photograph passively, even forcing them to share the sense of physical aggression perpetrated against its subjects. This work is part of Tate's collection.",https://frieze.com/sites/default/files/Editorial/Articles/1_DSC03580_CMYK.jpg,,,,,All,,One or two people at a time,Object interaction,Exhibition/museum visitors,,Gustav Metzger,,,,,,
VR,Hans Haacke,Hans Haacke,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Hans Haacke, MoMA Poll","Haacke, MoMA Poll",Interventions,02/06/1970,20/09/1970,"For his contribution to the exhibition Information at MoMA, Hans Haacke presented one of his 'system works' in the form of a public polling station. It comprised of two transparent acrylic ballot boxes, one marked ‘yes’ and the other ‘no’. The question was: 'Would the fact that Governor Rockefeller has not denounced President Nixon's Indochina policy be a reason for you not to vote for him in November?'
 'Ballots' were dropped into either of two plexi-glass ballot boxes (visitors chose 'yes' twice as often as 'no').
New York Governer Nelson Rockefeller was a member of the board of trustees of MOMA and planning a run for the U.S. Presidency at the time. With this work, Haacke intended to draw connections between the art establishment and politics, particularly around the controversial issue of the Vietnam War.",https://blogs.uoregon.edu/hanshaacke/files/2015/02/zl_li01-2g92vou.gif,,"MoMA, New York, USA ",USA,"40.7614367,-73.9798103",All,,,Object interaction,Exhibition/museum visitors,,Hans Haacke,,,,Kynaston McShine,,Information MoMA New York
VR,MoMA New York,MoMA New York,Institutions - Art,,,,,,"New York, USA",USA,"40.7614367,-73.9798103",,,,,,,,,,,,,
VR,Suzanne Lacy,Suzanne Lacy,Artists,,,,,,,,,,,,,,,,"Judy Chicago, Allan Kaprow, ",,,"Faith Wilding, Judy Chicago, Leslie Labowitz ",,
VR,"Suzanne Lacy, The Crystal Quilt","Lacy, The Crystal Quilt",Performances,1985,10/05/1987,"On 10 May 1987, Mother’s Day, in Minneapolis, 430 women over the age of 60 gathered to share their views on growing older. The resulting participatory performance, The Crystal Quilt, included mass action, spoken word and sound, and was broadcast live on television and attended by over 3,000 people. Participants all wore black, and engaged in simple actions using their hands, manipulating tablecloths to create a ‘quilt’ pattern that created a large-scale spectacle of participation. The soundtrack to these movements included the women’s own voices, mixing personal observations and reminiscences with social analysis about the unused potential of the elderly. The event was the culmination of the Whisper Minnesota Project, a three-year public artwork empowering and giving a voice to older women. Suzanne Lacy was interested in enabling self-organising groups, and worked with selected women participants who were trained as ‘leaders’ and coordinated sub-groups of participants on the day. The Crystal Quilt now exists in the form of a video, documentary, quilt, photographs and sound piece (in Tate's collection). Its fusion of art and social responsibility is something Suzanne Lacy has pioneered in her long career as activist artist, writer and teacher.",http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/suzanne-lacy-the-crystal-quilt_0.jpg?itok=P851QA7J,http://www.tate.org.uk/context-comment/video/tanks-suzanne-lacy,"IDS Centre, Minneapolis, USA",USA ,"44.9761237,-93.2723126",Gender identity,Elderly,430,Discursive,Passers-by,1 hour,Suzanne Lacy,,,,,,
,Judy Chicago,Judy Chicago,Artists ,,,,,,,,,,,,,,,,,,,,,
,Faith Wilding,Faith Wilding,Artists,,,,,,,,,,,,,,,,,,,,,
,Allan Kaprow,Allan Kaprow,Artists,,,,,,,,,,,,,,,,,,,,,
,Leslie Labowitz ,Leslie Labowitz,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Minerva Cuevas,Minerva Cuevas,Artists,,,"Mexican artist Minerva Cuevas’s extraordinarily prolific and international artistic practice is grounded in conceptually and socially engaged actions. Her site-specific interventions take place in a range of settings from the internet to museums to the cultural commons. She creates political and social interventions, produces compelling videos and photographic work, co-opts various means of distribution to get out her message, irreverently and cleverly tampers with corporate and government identities, and makes bold political-creative work that disrupts political and visual economies. In 1998 she founded Mejor Vida Corp. (Better Life Corporation), an enterprise that provides free products and services such as international student ID cards, subway passes, lottery tickets and barcode stickers which reduce the price of food at supermarket chains. Cuevas also creates posters, billboards, and performances; with these actions Cuevas has assumed the role of both a political and artistic actor.",,,,,,,,,,,,,,,,,,
,"Minerva Cuevas, Dodgem","Cuevas, Dodgem",Interventions,05/02/2002,06/10/2002,"In 2002, Cuevas intervened in an amusement park ride in Mexico City by pasting the logos of multinational oil corporations onto bumper cars. This gesture was intended as a comment on energy politics characterized by a permanent war among the petroleum companies looking to control the international markets with the ultimate goal of private profit. This power struggle was referred to ironically by the artist through the aimless bumping of electric cars, being used by visitors to the amusement park.",http://www.art21.org/files/images/cuevas-artwork-009-dodgem-2002.jpg,,"Mexico City, Mexico",Mexico ,"19.3720431,-99.1876946",All,,,Object interaction,Passers-by,1 month,Minerva Cuevas,,,,,,
AF,Tania Bruguera,Tania Bruguera,Artists,,,,,,,,,,,,,,,,Juan Francisco Elso Padilla,,Ana Mendieta ,Thomas Hirschhorn ,,documenta 11 
,Juan Francisco Elso Padilla,Juan Francisco Elso Padilla,Artists,,,,,,,,,,,,,,,,,,,,,
,Ana Mendieta ,Ana Mendieta ,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Theaster Gates,Theaster Gates,Artists,,,,http://images.tate.org.uk/sites/default/files/styles/grid-normal-12-cols/public/images/tgportrait.jpg?itok=R0rk0d2O,,,,,,,,,,,,,,,,,dOCUMENTA (13)
VR,"Theaster Gates, Dorchester Projects","Gates, Dorchester Projects",Initiatives,2009,,"In 2009 Gates began what became known as the Dorchester Projects as a reaction to the high numbers of abandoned buildings in hometown, South Side Chicago. In an attempt to revitalise the area he bought a dilapidated building on Dorchester Avenue and did it up. Using what he calls a ‘circular ecological system’, he financed the next project by selling artworks made from the scrap material of his first renovation. Seven years later he has numerous in the area, all funded in this way. Each property follows a unique concept, but is designed to create community hubs with the others. The Archive House holds 14,000 books, whereas The Listening Room is home to 8,000 records. The Stony Island Arts Bank is designed to be at the heart of the Dorchester Projects, with artist studios, a gallery space, rooms for performances and music and a bar. Through this project Gates wants us to imagine a world where culture and community are the end goals of real estate.",http://www.artsprofessional.co.uk/sites/artsprofessional.co.uk/files/styles/551_by_350_feature/public/main/articles/Placemaking_Helen_Marriage.jpg_web.jpg?itok=WYVyPqcd,,"South Dorchester Ave, Chicago, USA",USA ,"41.7687166,-87.5922749",All,,,Mixed,Local community,,Theater Gates,,,,,,
VR,Tamas St. Auby (Szentjoby),Tamas St. Auby,Artists,,,,,,,,,,,,,,,,,,,,,
,"Tamas St. Auby, Czechoslovak Radio 1968","St. Auby, Czechoslovak Radio",Other artwork,1969,,"Czechoslovak Radio 1968 consists of a red building brick painted with yellow sulphur paint. Hungarian artist Tamas St. Auby made his first Czechoslovak Radio 1968 in 1969 has a homage to a gesture of political subversion which had appeared the previous year during the Soviet Army’s invasion of Czechoslovakia, when people were forbidden to listen to radio broadcasts. The local population resisted this oppressive form of control and censorship through a range of creative means, including making ‘brick radios’ by attaching antennae and painting dials onto bricks. These fake radios spread as people pretended to listen to them, and although they were useless as a communication device, they were continuously confiscated by the army. St. Auby has repeatedly re-made the work over the years, as a conceptual gesture and as a way to keep their subversive spirit alive. In the repetitive action of recreating the piece, the artist has described it as “a non-art art work for and by all”. One Czechoslovak Radio 1968 from 2008 is in Tate's collection.",http://socks-studio.com/img/blog/czech-radio-03.jpg,,"Budapest, Hungary",Hungary ,,All,,,Object interaction,Mixed,,Tamas St. Auby,,,,,,dOCUMENTA (13)
VR,dOCUMENTA (13),dOCUMENTA (13),Exhibitions,09/06/2012,16/09/2012,,,,"Kassel, Germany",Germany ,"51.31366,9.4953149",,,,,,,Carolyn Cristov-Bakargiev,,,,,,
VR,Carolyn Cristov-Bakargiev,Carolyn Cristov-Bakargiev,Curators,,,,,,,,,,,,,,,,,,,,,
VR,Marta Minujín,Marta Minujín,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Marta Minujín,The Parthenon of Books","Minujín, Parthenon of Books",Interventions,19/12/1983,24/12/1983,"The Parthenon of Books 1983 was a project by Marta Minujín, in which she reconstructed the classical Greek temple of the Parthenon from the Acropolis in Athens out of books. Realised in the busy Avenue 9th of July in Minujín’s native Buenos Aires, The Parthenon of Books was fifteen metres across, thirty metres long and twelve metres high, covered in more than 20,000 books. Minujín chose books which had been banned during the Argentinian military dictatorship (1976–83), including works by Sigmund Freud, Jean-Paul Sartre, Ernest Hemingway and Jorge Luis Borges, as well as reference volumes and children’s stories. The books were donated by publishing houses, which had been keeping many of them in storage. Minujín’s replica of the major icon of the democratic Athenian polis became a national symbol of the restoration of democracy in Argentina. Rather than a conventional monument, however, her project was conceived as a temporary intervention, to be eventually dismantled, and as a participatory work in a public space. On 24 December 1983, the structure was leant over to one side, allowing the public to remove the books. Around 12,000 volumes were distributed among those present, while the remaining 8,000 or so were later sent to public libraries. Minujín’s intention was, as she put it, to ‘return the work to the public’. A documentary version of this work is held in Tate's collection.",http://www.argentinaindependent.com/wp-content/uploads/Marta-Minuj%C3%ADi-El-Partenon-de-libros-Buenos-Aires-1983-Archivo-Marta-Minujin.jpg,,"Avenida 9 de Julio, Buenos Aires, Argentina",Argentina ,"-34.6455246,-58.377052",All,,,Object interaction,Passers-by,6 days,Marta Minujín,,,,,,
VR,Abraham Cruzvillegas,Abraham Cruzvillegas,Artists,,,,,,,,,,,,,,,,,,,,,
VR,"Abraham Cruzvillegas, A.C. Mobile 2008","Cruzvillegas, A.C. Mobile",Other artwork,2008,,"During a 2008 residency in Cove Park, near Glasgow, Cruzvillegas wrote lyrics for songs about his parents' house in Ajusco, Mexico, an example of informal architecture built without a plan and using recycled materials. The artist then asked bands from Glasgow to create music for the 18 lyrics, and he then played the music in the streets of Glasgow using a sound system constructed as a mobile sculpture. This street-cart was made in collaboration with John O’Hara of The Common Wheel project, a bicycle repair and recycle workshop for people with mental illness. The sound system was made with parts from used, discarded or old bikes and recycled materials, referencing the mobile sound systems found in the streets of Kingston in Jamaica and the Sonidero tradition of Mexico City. When presented in a gallery, visitors are welcome to ride the street-cart, which projects a video, showing documentation of the spaces where the music was played in the streets. This was made with a fixed camera on the vehicle, registering its transit in Glasgow, capturing people’s lives and activities.",https://static.a-n.co.uk/wp-content/uploads/2015/10/AC-Mobile-Abraham-C.jpg,,"Glasgow, Scotland, UK ",UK ,"55.9600557,-4.9413763",All,Shared background,,Mixed,Passers-by,,Abraham Cruzvillegas,,,,,,
VR,Francis Alÿs,Francis Alÿs,Artists,,,,,,,,,,,,,,,,,,,,,dOCUMENTA (13)
VR,"Francis Alÿs, The Commuters 2005","Alÿs, The Commuters 2005",Other artwork,2005,,"The Commuters is an installation by the Belgian-born artist Francis Alÿs, comprised of an oil painting, which depicts the legs of people as they walk through London, and eighteen photographs. The painting and photographs are accompanied by a framed work on A4 paper entitled ‘THE COMMUTERS, London 26 Sept – 20 Nov 2005’. Beneath this title are a set of typewritten bullet points which provide instructions for the fate of the painting. The instructions outline that the painting is to be removed from 21 Portman Square at 7pm and taken away by a visitor. It will then remain with the visitor until 11am the following morning, when it is to be returned to Portman Square. This sequence is then to be repeated. The eighteen photographs show the oil painting in various places, such as strapped to the back of a moving motorbike, propped against a sofa in a domestic space, and being carried under the arm of a man down one of London’s Regency streets. Alÿs created The Commuters for his 2005 exhibition Seven Walks, located at 21 Portman Square and organised by Artangel. This exhibition contained the documentation of actions he had undertaken in London over several years. The Commuters invited visitors to the exhibition to participate in their own action, by taking the painting home as described in the instructions, thus removing the work from a public space to be taken into a private one. The resulting photographic documentation displays the assorted journeys on which the painting was taken each evening, and in so doing demonstrates the diverse ways of living that coexist in the city. The work is now part of Tate's collection.",http://www.tate.org.uk/art/images/work/T/T12/T12183_10.jpg,,"21 Portman Square, London",UK,"51.515366,-0.1582717",All,,,Mixed,Exhibition/museum visitors,,Francis Alÿs,,,,,,
VR,"Francis Alÿs, Sign Painting Project","Alÿs, Sign Painting Project",Other artwork,1993,1997,"The Sign Painting Project came into being between 1993 and 1997 through a collaboration between Francis Alÿs and professional local sign painters (rótulistas) from Mexico City, particularly Juan García, Emilio Rivera, and Enrique Huerta. This major, extensive project was inspired by the pictorial style of billboards Alÿs encountered in his neighborhood in the Centro Histórico, and he began by painting small-scale canvases depicting people, everyday objects, and scenes of nondescript urban architecture in the flat, brightly-colored manner of those street advertisements. He then asked the rótulistas to copy and enlarge his paintings. The result of the artists’ combined labors is a set of 120 paintings that reveal variations on particular themes and that inevitably provoke questions about collaboration, authorship and originality. Tate owns a series of one painting by Alÿs and two larger reproductions by Emilio Rivera and Enrique Huerta, dated 1996.",http://arttattler.com/Images/NorthAmerica/Illinois/Chicago/Renaissance%20Society/Francis%20Alys/The-Liar-01.jpg,,"Mexico City, Mexico",Mexico,"19.4296956,-99.1583893",,Profession,3,Instructed,,,Francis Alÿs,,,,,,
VR,Rirkrit Tiravanija,Rirkrit Tiravanija,Artists,,,"Rirkrit Tiravanija is a key figure in the genre of contemporary practice described by Nicolas Bourriand as ‘relational art’. Tiravanija is best known for installation performances that directly engage the audience in a social environment. Born in Buenos Aires and now based between New York, Chiang Mai and Berlin, Tiravanija is of Thai origin and in his early works he often used the skills he learned from his grandmother, a cook. His installations often take the form of stages or rooms for sharing meals, cooking, reading, playing music and engaging in other forms of social interaction. His work subtly questions the structure and purpose of the institutions in which it is shown.",,,,,,,,,,,,,"Marcel Duchamp, Kazimir Malevich, Marcel Broodthaers, Joseph Beuys",,,,,"Traffic CAPC Bordeaux, Politics of Fun, Tate Modern"
VR,"Rirkrit Tiravanija, Untitled, 2005 (sleep on earth, eat on sand) 2005","Tiravanija, Untitled 2005",Other artwork,2005,,"Tiravanija is of Thai origin and in his early works he often used the skills he learned from his grandmother, a cook. His installations often take the form of stages or rooms for sharing meals, cooking, reading, playing music and engaging in other forms of social interaction, subtly questioning the structure and purpose of the institutions in which it is shown. Untitled, 2005 (sleep on earth, eat on sand) was made for the exhibition The Politics of Fun in the Haus der Kulturen der Welt, Berlin in 2005. The work consists of a disused contracter’s shed in which the artist set up a cooking station from which he made and served pad thai to gallery-goers. The work is historically significant as it marked the last time the artist was to cook for the public in this way (he first made Thai curry for gallery-goers at a show entitled Pad Thai at the Paula Cooper Gallery, New York in 1990). In its incarnation in Berlin the work was installed just outside the gallery but was visible through the gallery windows. Cooking took place in and around the shed, one wall of which was removed and used as a table top on which the food was served. With one side removed, the shed resembles a stage set or vitrine. In keeping with Tiravanija’s practice, the remnants of the Berlin performances, including cooking utensils and food remains, now constitute part of the work and are sealed in the shed. The remaining sculpture is now in Tate's collection.",http://universes-in-universe.de/specials/2005/politics-of-fun/img/img-05-1.jpg,,"Haus der Kulturen der Welt, Berlin, Germany",Germany,"52.5189117,13.3627228",All,,,Mixed,Exhibition/museum visitors,,Rirkrit Tiravanija,Joseph Beuys,,,,,"Politics of Fun, Tate Modern"
VR,Politics of Fun. Contemporary Art from Southeast Asia,Politics of Fun,Exhibitions,30/9/2005,20/11/2005,"Politics of Fun. Contemporary Art from Southeast Asia was an exhibition held at the Haus der Kulturen der Welt, Berlin in 2005. Alongside with well-known artists, such as Rirkrit Tiravanija and Araya Rasdjarmrearnsook, the exhibition showcases representatives of a younger generation. According to the press release: Its members insist on the right to freedom of expression as an answer to political malaise and cultural amnesia in large parts of the region. In light of monolithic and patriarchal structures, they have developed a defiant motto for survival: "If you can’t change the world at large, you can at least change your own world." With a do-it-yourself artistic approach they create social spaces to move in. Their idealism responds to global developments ranging from Flower Power to the environmental movements co-inspired by Arundhati Roy in India. A basic attitude is manifest in the works shown in this exhibition - an attitude that can be characterized as the "Politics of Fun", a brilliant fusion of individual and political demands with playful action. Politics of Fun was curated by Gridthiya Gaweewong from Thailand, an independent curator and cofounder of Project 304, which focuses on the multidisciplinary projects of local and international artists, and Ong Keng Sen from Singapore, artistic director of the theatre group Theatre Works in Singapore.""olitics of Fun. Contemporary Art from Southeast Asia was an exhibition held at the Haus der Kulturen der Welt, Berlin in 2005. Alongside with well-known artists, such as Rirkrit Tiravanija and Araya Rasdjarmrearnsook, the exhibition showcases representatives of a younger generation. According to the press release: Its members insist on the right to freedom of expression as an answer to political malaise and cultural amnesia in large parts of the region. In light of monolithic and patriarchal structures, they have developed a defiant motto for survival: "If you can’t change the world at large, you can at least change your own world." With a do-it-yourself artistic approach they create social spaces to move in. Their idealism responds to global developments ranging from Flower Power to the environmental ""litics of Fun. Contemporary Art from Southeast Asia was an exhibition held at the Haus der Kulturen der Welt, Berlin in 2005. Alongside with well-known artists, such as Rirkrit Tiravanija and Araya Rasdjarmrearnsook, the exhibition showcases representat",http://universes-in-universe.de/specials/2005/politics-of-fun/eng/img-06.htm,,"Haus der Kulturen der Welt, Berlin, Germany",Germany,"52.5189117,13.3627228",,,,,,,,,,,,"Rirkrit Tiravanija, Artists Investigating Monuments (AIM), Wit Pimkanchanapong",
VR,Artists Investigating Monuments (AIM),AIM,Artists,,,Artists Investigating Monuments (AIM) is a collaboration between artists Lee Wen (b.1957 in Singapore) and Kai Lam (b.1974 in Singapore). The pair build scaffolding structures to give visitors a chance to observe large-scale or out-of-reach public monuments up close.,,,,Singapore,,,,,,,,,,,,"Lee Wen, Kai Lam",,
VR,"Artists Investigating Monuments, Untitled (Raffles) 2000","AIM, Untitled (Raffles) 2000",Interventions,2000,,"Through a scaffolding the visitors could see at eye-level for the first time the monument of Sir Stamford Raffles, founder of modern Singapore. Viewers were then interviewed on their thoughts on seeing the monument from a different perspective.",,,"Raffles Landing Site, Singapore",Singapore,"1.2876691,103.8507592",All,,,Object interaction,Passers-by,,Artists Investigating Monuments (AIM),,,,,,Politics of Fun
VR,Lee Wen,Lee Wen,Artists,,,,,,,,,,,,,,,,,,,"Kai Lam, Artists Investigating Monuments (AIM)",,
VR,Kai Lam,Kai Lam,Artists,,,,,,,,,,,,,,,,,,,"Lee Wen, Artists Investigating Monuments (AIM)",,
VR,Wit Pimkanchanapong,Wit Pimkanchanapong,Artists,,,,,,,,,,,,,,,,,,,,,Politics of Fun
VR,"Wit Pimkanchanapong, Singapore 2008","Pimkanchanapong, Singapore 2008",Interventions,2008,,"A large satellite image of Singapore is reproduced on the floor of the City Hall (venue of the Singapore Biennale 2008). Blank stickers are provided for the public to provide their own notes on the map, like an analogue form of geotagging.",http://u-in-u.com/fileadmin/media/images/biennials/singapore/2008/tour/city_hall/pimkanchanapong_2/478702-1-eng-GB/pimkanchanapong_2.jpg,,"Former City Hall, Singapore",Singapore,"1.2912772,103.8496296",All,,,Generative,Exhibition/museum visitors,,Wit Pimkanchanapong,,,,,,
,Marcel Duchamp,Marcel Duchamp ,Artists,,,,,,,,,,,,,,,,,,,,,
,Marcel Broodthaers,Marcel Broodthaers,Artists,,,,,,,,,,,,,,,,,,,,,
,Kazimir Malevich ,Kazimir Malevich,Artists,,,,,,,,,,,,,,,,,,,,,
VR,Nicolás García Uriburu,Nicolás Uriburu,Artists,,,,,,,,,,,,,,,,,,,Joseph Beuys,,
VR,"Nicolás García Uriburu, Colouration of the Grand Canal, Venice, 1968","Uriburu, Colouration of the Grand Canal, 1968",Interventions,1968,,"In June, 1968, on the eve of the Venice Biennale, the Argentine artist Nicolás García Uriburu dyed Venice’s Grand Canal bright green, using fluorescein (a pigment which turns a bright green when synthesized by microorganisms in the water), to protest its pollution. He was detained by the police but was released when he demonstrated that the chemical he had used was not toxic.",http://images.huffingtonpost.com/2015-09-02-1441221825-2413034-UriburuColoracindelGrandCanal-thumb.jpg,,"Grand Canal, Venice, Italy",Italy,"45.4363572,12.3323391",,,,,Passers-by,,Nicolás García Uriburu,,,,,,
VR,"Nicolás García Uriburu, Colouration of Trafalgar Square Fountains, London, 1974","Uriburu, Colouration of Trafalgar Square Fountains, 1974",Interventions,1974,,"As part of the Latin American Week organised by the ICA in 1974, Argentine artist Nicolás García Uriburu dyed the water of the fountains in Trafalgar Square using his signature bright green pigment fluorescein. ",http://images.huffingtonpost.com/2015-09-02-1441222564-6049624-UriburuColorationinTrafalgarSquare.jpg,,"Trafalgar Square, London",UK,"51.5083621,-0.1289692",,,,,Passers-by,,Nicolás García Uriburu,,,,,,
VR,"Nicolás García Uriburu, Colouration of the Plata River, Buenos Aires, 1970","Uriburu, Colouration of the Plata River, 1970",Interventions,1970,,"Nicolás García Uriburu dyed the waters of the Rio de la Plata green using fluorescein (a pigment which turns a bright green when synthesized by microorganisms in the water), to protest its pollution. He chose the Riachuelo Mouth, a particularly polluted area of Buenos Aires.",http://www.quadernsdigitals.net/datos_web/secciones/s_9/a_7631/2650.dat,,"Matanza River, Buenos Aires, Argentina",Argentina,"-34.638443,-58.356342",,,,,Passers-by,,Nicolás García Uriburu,,,,,,
VR,"Nicolás García Uriburu, Colouration of the Rhine, 1981","Uriburu, Colouration of the Rhine, 1981",Interventions,1981,,"In 1981, Uriburu took advantage of an appearance at Kassel's Documenta 7 to dye the Rhine River, joined by German artist Joseph Beuys. Uriburu later joined Beuys in planting 7,000 oaks.",http://images.huffingtonpost.com/2015-09-02-1441222781-2055291-UriburuGreenRhine1981Beuys-thumb.jpg,,"Düsseldorf, Germany",Germany,"51.241031,6.765080",,,,,Passers-by,,Nicolás García Uriburu,,,,Joseph Beuys,,
VR,Thomas Hirshhorn,Thomas Hirshhorn,Artists,,,,,,,,,,,,,,,,"Joseph Beuys, Andy Warhol, Helio Oiticica ",,,,,
